tconst	averageRating	numVotes
tt0000001	5.7	1846
tt0000002	6.0	239
tt0000003	6.5	1613
tt0000004	6.0	155
tt0000005	6.2	2436
tt0000006	5.2	161
tt0000007	5.4	760
tt0000008	5.5	1990
tt0000009	5.9	191
tt0000010	6.9	6657
tt0000011	5.2	337
tt0000012	7.5	11439
tt0000013	5.8	1761
tt0000014	7.1	5131
tt0000015	6.2	971
tt0000016	5.9	1360
tt0000017	4.6	299
tt0000018	5.3	551
tt0000019	5.2	30
tt0000020	5.0	323
tt0000022	5.1	1015
tt0000023	5.7	1326
tt0000024	4.4	85
tt0000025	4.3	39
tt0000026	5.7	1444
tt0000027	5.6	1068
tt0000028	5.2	988
tt0000029	6.0	3149
tt0000030	5.2	784
tt0000031	5.5	942
tt0000032	5.1	390
tt0000033	5.6	956
tt0000034	5.1	182
tt0000035	5.5	76
tt0000036	4.4	574
tt0000037	4.5	60
tt0000038	4.2	189
tt0000039	3.6	25
tt0000040	4.4	61
tt0000041	6.7	1694
tt0000042	4.2	36
tt0000043	3.6	31
tt0000044	4.2	41
tt0000045	4.1	31
tt0000046	4.2	33
tt0000047	3.7	33
tt0000048	4.8	171
tt0000049	5.1	45
tt0000050	4.2	33
tt0000051	3.8	33
tt0000052	4.4	88
tt0000053	2.9	17
tt0000054	4.9	33
tt0000055	3.8	29
tt0000056	3.2	21
tt0000057	4.3	31
tt0000058	4.3	31
tt0000059	3.6	26
tt0000060	7.6	84
tt0000061	4.1	23
tt0000062	6.4	185
tt0000063	3.6	26
tt0000064	3.4	27
tt0000065	3.6	27
tt0000066	3.4	27
tt0000067	5.7	57
tt0000068	3.7	29
tt0000069	4.9	417
tt0000070	6.5	2515
tt0000071	3.5	28
tt0000072	3.8	26
tt0000073	3.6	29
tt0000074	4.7	30
tt0000075	6.3	1787
tt0000076	4.5	507
tt0000077	4.6	33
tt0000078	3.9	69
tt0000079	4.4	34
tt0000080	4.1	30
tt0000081	4.2	31
tt0000082	4.8	46
tt0000083	4.7	31
tt0000084	4.5	29
tt0000085	4.7	31
tt0000086	4.3	32
tt0000087	4.7	36
tt0000088	4.3	31
tt0000089	6.2	939
tt0000090	4.1	30
tt0000091	6.7	3283
tt0000092	4.7	28
tt0000093	4.8	89
tt0000094	4.5	30
tt0000095	4.8	33
tt0000096	4.5	28
tt0000097	5.0	32
tt0000098	5.1	35
tt0000099	4.7	31
tt0000100	4.8	49
tt0000101	4.7	27
tt0000102	4.8	25
tt0000103	5.4	26
tt0000104	5.5	441
tt0000105	5.0	28
tt0000106	4.5	22
tt0000107	5.2	27
tt0000108	4.4	517
tt0000109	4.5	501
tt0000110	4.4	505
tt0000111	4.5	518
tt0000112	4.5	499
tt0000113	4.4	524
tt0000114	5.1	29
tt0000115	4.8	33
tt0000116	5.1	26
tt0000117	5.1	153
tt0000118	5.1	27
tt0000119	5.4	49
tt0000120	5.2	46
tt0000121	4.3	71
tt0000122	5.1	30
tt0000123	5.8	115
tt0000124	5.1	29
tt0000125	4.8	14
